npix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,a,b,theta,flux,peak,xpeak,ypeak,flag,ra,dec,d2d,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,BP-RP,E_BP-RP_
13,352,355,1,4,353.6160228268316,1.7194925423388487,0.4756225496241462,0.7225242507498595,0.07560105609580692,0.8624581098556519,0.6740273237228394,1.296053409576416,2543.62353515625,636.738037109375,354,1,0,132.1476018090978,12.243500873634819,0.35591995807760923,132.14751154815,0.0678,12.24354552752,0.0412,607993753651336704,0.4762,0.0896,-1.231,0.142,-5.733,0.083,0,3783.5,2.7409,16.7436,0.0008,1.3602,
7,395,397,2,4,396.05250457962745,3.206892941115303,0.3725276819341117,0.2832536800878649,-0.01723919649104877,0.612977147102356,0.5291883945465088,-0.18428052961826324,443.7403564453125,201.15267944335938,396,3,0,132.19547581829423,12.240675155475504,0.786862751629643,132.19549475955,0.1802,12.24045736772,0.1118,607992993441415808,-0.0256,0.2189,-0.061,0.372,-0.466,0.234,0,812.21,1.3467,18.4142,0.0018,0.5545,
6,676,677,2,4,676.3476100474296,2.858120410997025,0.22677730235559768,0.46549042578689404,0.01015562250763985,0.6825845837593079,0.4757583737373352,1.528355360031128,340.8370361328125,118.90701293945312,676,3,0,132.51206382939648,12.233011468742626,0.603011129485283,132.51196976244,0.2205,12.23287144746,0.1577,604994212915963392,0.1099,0.2761,-4.203,0.496,-4.576,0.369,0,640.65,1.1744,18.6718,0.002,0.7448,
8,899,901,1,4,899.5196954977672,2.130281105694892,0.33247166560125674,0.5255500521982428,0.075415966167244,0.7426409125328064,0.5536300539970398,1.2392117977142334,687.2688598632812,221.70941162109375,899,2,0,132.76423581910046,12.227127265099252,0.3023563389136449,132.76419590667,0.1498,12.22705288491,0.0934,605013420010146432,0.2737,0.2043,-1.5,0.317,-0.928,0.22,0,1198.7,1.5983,17.9916,0.0014,0.8741,
5,1040,1041,2,4,1040.429351643303,2.650401262626754,0.24500880969602407,0.4211870215552561,-0.10228624573425629,0.6841691732406616,0.44509372115135193,-1.1408789157867432,313.5321044921875,87.67269897460938,1040,3,0,132.92346065367917,12.222203525820357,0.9218284016580373,132.92357618283,0.2454,12.22197370049,0.1544,605002051231937536,1.0199,0.3149,-1.697,0.507,-0.231,0.312,0,601.68,1.2059,18.7399,0.0022,1.9844,
5,654,655,3,5,654.3625371834086,3.8811091559710214,0.231103974054759,0.35659275771451004,-0.07435783835973472,0.6254130601882935,0.4433455467224121,-1.1358448266983032,370.41644287109375,142.31222534179688,654,4,0,132.48719696537154,12.232528002977949,0.837863389192779,132.48727593184,0.207,12.23230843053,0.1359,604994247275701248,0.9959,0.2491,-3.478,0.468,-3.506,0.319,0,757.58,1.194,18.4898,0.0017,1.9541,
15,136,139,2,6,137.37108194029048,3.0009068843679576,0.4778284955690484,0.8426070931570306,0.12037697427323324,0.9374168515205383,0.6645940542221069,1.2791097164154053,2198.673095703125,541.6385498046875,137,3,0,131.90344135280208,12.24798382636864,0.28533505445662294,131.90336033914,0.0823,12.24798004902,0.0549,602003094611859712,0.2072,0.1132,-3.604,0.172,-1.937,0.11,0,3406.1,2.3494,16.8577,0.0007,0.7731,
8,276,278,4,7,276.92300095192076,5.320429926768648,0.4115079624922581,0.4179585139538313,-0.02365885101556331,0.6622770428657532,0.6251844167709351,-0.8531426787376404,527.3696899414062,212.1649932861328,277,5,0,132.06090630925206,12.241645616650889,0.4118942259243627,132.06088470965,0.1611,12.2415331656,0.1144,608004194716123904,0.4307,0.1943,-2.977,0.325,1.005,0.223,0,872.28,1.3101,18.3367,0.0016,1.2458,
10,214,216,5,8,215.27510477889592,6.350059631536744,0.3538146150096386,0.5707700612593951,-0.012083040381749122,0.7559370994567871,0.5942589640617371,-1.5153312683105469,995.7491455078125,352.84246826171875,215,6,0,131.99128162036106,12.242190913455698,0.07911536856475972,131.99128637358,0.1109,12.24216943349,0.0713,608004778831676416,1.6845,0.1304,-4.645,0.226,-0.657,0.143,0,1632.6,2.1291,17.6562,0.0014,2.1739,
20,546,549,3,8,547.0368361208834,4.751264540720009,0.5310961705415247,0.9177443708163397,0.1452026275127527,0.9829553365707397,0.6947224736213684,1.2486990690231323,9613.9462890625,3066.71435546875,547,4,0,132.3659410546068,12.234684046541359,0.3371023478423942,132.36586470927,0.0391,12.23474062842,0.025,607995196760375552,0.681,0.0466,-4.611,0.079,4.076,0.055,0,14594.0,4.9265,15.2779,0.0004,0.757,0.029
5,442,443,7,9,442.461194124117,7.630004349641026,0.248494103996953,0.39903357797140165,-0.09254070697420139,0.6656203866004944,0.4521915018558502,-1.126818060874939,320.35577392578125,85.23258972167969,442,8,0,132.24775105142277,12.234488874104668,1.2128169858646072,132.24794462549,0.2017,12.23421011066,0.1175,607993130880367616,-0.4457,0.263,0.226,0.433,-2.817,0.248,0,612.5,1.3803,18.7206,0.0024,0.4173,
17,1079,1082,4,9,1079.9917020223959,5.762147765649806,0.5353604555041936,0.7908000849357997,0.1460609347016324,0.9258004426956177,0.6848752498626709,1.144651174545288,5657.798828125,1513.13427734375,1080,5,0,132.9680739962631,12.217530542744544,0.5943140015450333,132.96790592812,0.0477,12.21754703273,0.0324,604999439891812608,1.5809,0.0629,-13.038,0.097,2.686,0.064,0,8295.0,3.5453,15.8913,0.0005,1.4228,0.075
7,33,35,8,10,34.07463992032992,8.489567673056579,0.43230625457827543,0.3952616118221326,-0.04219019973670185,0.6781304478645325,0.6063884496688843,-0.5785555839538574,382.55914306640625,135.73236083984375,34,8,0,131.7867070152466,12.244663098897913,0.6029828899313501,131.78670512568,0.2162,12.24449561383,0.1656,602003610007932544,1.6068,0.2906,-18.187,0.464,-19.247,0.302,0,654.74,1.0742,18.6482,0.0018,2.4412,
10,53,55,6,10,54.10221849048761,7.492906458074291,0.3959427021183055,0.6459071133822856,0.01833699938509259,0.8045154809951782,0.628175675868988,1.4979575872421265,1263.4056396484375,473.865478515625,54,7,0,131.8093359947291,12.245236565420699,0.21135768652724293,131.80930017708,0.1166,12.24518943023,0.0778,602003644367672064,1.0515,0.1586,-9.495,0.244,-5.551,0.146,0,1949.1,1.6405,17.4638,0.0009,1.5583,
12,708,711,6,10,709.3303355143983,7.591230097199657,0.42093858715473376,0.6069712443470938,0.1089749369596249,0.8106968402862549,0.6088353395462036,1.1386759281158447,1500.992919921875,505.0382995605469,709,7,0,132.5491787226783,12.226815660230239,0.16897248847587093,132.54913588474,0.0942,12.2267944404,0.0654,604993525721194624,0.293,0.1201,-3.361,0.212,-2.454,0.159,0,2329.6,2.0726,17.2702,0.001,1.0679,
20,912,916,5,10,913.372724270216,6.477346309541116,0.5011649172870438,0.7898878455148597,0.14697354678878627,0.9227890372276306,0.6629578471183777,1.1736143827438354,10257.7119140625,3481.032470703125,913,6,0,132.77975257431487,12.221906811588347,0.4801058445681828,132.77965394513,0.0346,12.22199897376,0.022,605001707634588544,1.1263,0.0445,-11.086,0.072,-3.209,0.048,0,15420.0,4.876,15.2182,0.0003,1.0227,0.078
18,63,67,7,11,64.40720137476885,8.627055772292154,0.616075323498519,0.8459730169202064,0.17331462763125227,0.9690167307853699,0.7232253551483154,1.078210711479187,3055.591796875,965.0340576171875,64,8,0,131.82093343700976,12.24371377575052,0.6039669087310888,131.82077860049,0.069,12.24378623385,0.0481,602003648662968704,0.0529,0.0944,0.239,0.148,-0.992,0.092,0,4309.3,2.2372,16.6024,0.0006,1.3406,0.1067
33,748,753,4,11,749.8878723903921,6.44916168453873,0.6100766830005311,0.9372774314175674,0.17328486781939123,1.0059767961502075,0.7316862940788269,1.1637276411056519,30402.0859375,10118.2578125,750,6,0,132.5950334297071,12.226872355011977,0.4471229130271866,132.59496768804,0.0239,12.22697864577,0.0164,604993667455856896,1.097,0.0296,-10.9,0.052,-3.025,0.037,0,45073.0,8.2667,14.0536,0.0002,0.8046,0.085
