HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457144.77208,2015-05-02.2720197,ba,1.77,15.818,13.310,0.022,18.196,0.363
2457144.77370,2015-05-02.2736430,ba,1.77,15.597,13.323,0.027,17.966,0.444
2457145.74529,2015-05-03.2453243,ba,1.65,15.593,13.355,0.028,17.456,0.446
2457145.74685,2015-05-03.2468908,ba,1.64,15.696,13.401,0.027,16.730,0.406
2457148.74263,2015-05-06.2429599,ba,1.75,16.042,13.374,0.019,17.157,0.296
2457148.74421,2015-05-06.2445424,ba,1.76,16.025,13.341,0.019,17.679,0.299
2457152.77000,2015-05-10.2707296,ba,2.48,15.961,13.303,0.019,18.314,0.319
2457152.77504,2015-05-10.2757631,ba,2.29,15.972,13.318,0.019,18.059,0.315
2457152.77667,2015-05-10.2773967,ba,2.24,16.025,13.346,0.019,17.604,0.300
2457155.73487,2015-05-13.2358811,ba,1.85,14.292,13.494,0.105,15.350,1.475
2457155.73641,2015-05-13.2374204,ba,1.78,14.738,13.375,0.063,17.144,0.978
2457283.13151,2015-09-17.6357862,ba,1.68,15.413,13.344,0.033,17.626,0.527
2457283.13244,2015-09-17.6367144,ba,1.68,15.230,13.361,0.039,17.345,0.622
2457283.13334,2015-09-17.6376197,ba,1.65,15.192,13.376,0.041,17.116,0.645
2457285.14160,2015-09-19.6457437,ba,1.87,14.397,13.476,0.094,15.607,1.339
2457285.14253,2015-09-19.6466672,ba,2.03,99.990,99.990,99.990,99.990,99.990
2457285.14343,2015-09-19.6475718,ba,2.03,14.358,13.421,0.093,16.424,1.391
2457297.11282,2015-10-01.6160440,ba,1.67,15.578,13.360,0.028,17.370,0.454
2457297.11407,2015-10-01.6172895,ba,1.64,15.588,13.018,0.021,23.802,0.452
2457297.11532,2015-10-01.6185428,ba,1.68,15.768,13.352,0.024,17.503,0.383
2457308.07988,2015-10-12.5821418,ba,1.67,16.024,13.335,0.018,17.786,0.302
2457308.08113,2015-10-12.5833946,ba,1.63,15.941,13.298,0.019,18.395,0.326
2457308.08239,2015-10-12.5846523,ba,1.64,15.921,13.307,0.020,18.244,0.331
2457309.09449,2015-10-13.5966581,ba,1.64,16.117,13.352,0.017,17.503,0.277
2457309.09574,2015-10-13.5979105,ba,1.62,16.062,13.300,0.017,18.367,0.292
2457309.09700,2015-10-13.5991666,ba,1.68,16.004,13.337,0.019,17.747,0.308
2457310.09397,2015-10-14.5960449,ba,1.74,16.079,13.297,0.017,18.405,0.287
2457310.09522,2015-10-14.5972969,ba,1.72,16.083,13.367,0.018,17.263,0.285
2457310.09646,2015-10-14.5985413,ba,1.72,15.931,13.358,0.021,17.396,0.328
2457311.08972,2015-10-15.5917071,ba,1.67,16.025,13.407,0.020,16.643,0.300
2457311.09098,2015-10-15.5929597,ba,1.65,16.012,13.331,0.019,17.846,0.305
2457311.09223,2015-10-15.5942136,ba,1.67,16.152,13.327,0.016,17.916,0.268
2457314.07274,2015-10-18.5744378,ba,1.66,16.134,13.419,0.018,16.462,0.272
2457314.07399,2015-10-18.5756932,ba,1.65,15.952,13.400,0.021,16.747,0.321
2457314.07524,2015-10-18.5769482,ba,1.65,15.979,13.428,0.021,16.329,0.313
2457315.07871,2015-10-19.5803171,ba,1.65,15.850,13.465,0.024,15.766,0.353
2457315.07960,2015-10-19.5812111,ba,1.68,15.845,13.386,0.023,16.960,0.355
2457315.08050,2015-10-19.5821038,ba,1.71,15.859,13.377,0.022,17.105,0.350
2457317.07247,2015-10-21.5738869,ba,1.67,15.796,13.390,0.024,16.900,0.371
2457317.07339,2015-10-21.5748025,ba,1.63,15.802,13.408,0.024,16.633,0.369
2457317.07428,2015-10-21.5756936,ba,1.65,15.710,13.403,0.026,16.707,0.401
2457318.08032,2015-10-22.5816409,ba,1.66,15.817,13.392,0.023,16.865,0.364
2457318.08126,2015-10-22.5825802,ba,1.70,15.972,13.343,0.019,17.650,0.316
2457318.08217,2015-10-22.5834827,ba,1.67,15.858,13.367,0.022,17.256,0.350
2457320.04844,2015-10-24.5495657,ba,1.61,15.639,13.412,0.028,16.574,0.428
