HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455970.03825,2012-02-12.5326902,ba,2.20,99.990,99.990,99.990,99.990,99.990,V
2455974.98792,2012-02-17.4824592,ba,2.48,15.487,13.249,0.028,19.238,0.493,V
2455974.98965,2012-02-17.4841928,ba,2.48,15.581,13.243,0.026,19.336,0.451,V
2455984.93375,2012-02-27.4286429,ba,2.22,99.990,99.990,99.990,99.990,99.990,V
2455984.93545,2012-02-27.4303450,ba,2.22,16.202,13.371,0.017,17.200,0.266,V
2455984.93731,2012-02-27.4322079,ba,2.21,16.299,13.372,0.016,17.185,0.242,V
2455988.92191,2012-03-02.4169827,ba,2.22,15.989,13.464,0.021,15.789,0.315,V
2455988.92367,2012-03-02.4187436,ba,2.20,16.061,13.480,0.021,15.568,0.296,V
2456000.93279,2012-03-14.4285545,ba,2.22,16.067,13.244,0.017,19.318,0.299,V
2456000.93463,2012-03-14.4303968,ba,2.23,16.145,13.205,0.016,20.042,0.282,V
2456015.93764,2012-03-29.4345210,bb,1.80,99.990,99.990,99.990,99.990,99.990,V
2456015.93920,2012-03-29.4360798,bb,1.70,99.990,99.990,99.990,99.990,99.990,V
2456039.87978,2012-04-22.3788356,bb,1.78,99.990,99.990,99.990,99.990,99.990,V
2456039.88142,2012-04-22.3804664,bb,1.71,99.990,99.990,99.990,99.990,99.990,V
2456223.12103,2012-10-22.6222659,ba,2.33,16.247,13.336,0.015,17.763,0.247,V
2456223.12291,2012-10-22.6241493,ba,2.35,16.346,13.322,0.014,17.997,0.226,V
2456233.08711,2012-11-01.5873682,ba,2.38,16.101,13.315,0.017,18.117,0.281,V
2456233.08885,2012-11-01.5891085,ba,2.41,15.983,13.304,0.019,18.295,0.313,V
2456243.09964,2012-11-11.5988922,ba,2.07,16.502,13.338,0.012,17.726,0.197,V
2456243.10156,2012-11-11.6008195,ba,2.05,16.407,13.345,0.013,17.622,0.213,V
2456250.08780,2012-11-18.5863820,ba,2.27,13.952,13.561,0.153,14.439,2.017,V
2456250.08939,2012-11-18.5879627,ba,2.25,14.252,13.294,0.091,18.450,1.530,V
2456259.10121,2012-11-27.5989475,ba,2.08,16.082,13.339,0.018,17.715,0.286,V
2456259.10295,2012-11-27.6006821,ba,2.09,16.031,13.323,0.018,17.977,0.299,V
2456269.06580,2012-12-07.5626557,ba,2.35,16.136,13.313,0.016,18.151,0.276,V
2456269.06765,2012-12-07.5645042,ba,2.36,16.251,13.305,0.015,18.277,0.251,V
2456273.05272,2012-12-11.5492586,ba,2.09,16.403,13.360,0.013,17.367,0.218,V
2456273.05463,2012-12-11.5511638,ba,2.08,16.344,13.388,0.014,16.938,0.228,V
2456316.94829,2013-01-24.4426855,ba,2.06,15.802,13.314,0.022,18.127,0.369,V
2456316.94997,2013-01-24.4443633,ba,2.06,15.925,13.319,0.020,18.040,0.331,V
