JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2454130.4379,12.820,0.073,,R,MMN,,HENDEN M67 021,HENDEN M67 030,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0400,0,,Z,9.630,9.880,,HU CNC,UAI,STD,,,,
2454503.4898,12.872,0.076,,R,MMN,,A M67 021,B M67 030,,,0,,Z,9.630,9.880,,HU CNC,UAI,STD,,,,
2454504.5618,12.872,0.064,,R,MMN,,A M67 021,B M67 030,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0402ME,0,,Z,9.630,9.880,,HU CNC,UAI,STD,,,,
2454507.4481,12.880,0.067,,R,MMN,,A M67 021,B M67 030,,TELESCOPE SCHMIDT-CASSEGRAIN 0.20M-F/10.0 + CCD KAF0402ME,0,,Z,9.630,9.880,,HU CNC,UAI,STD,,,,
2454540.42,13.5,,,V,BOA,,NA,,,,0,,Z,,,,HU CNC,AFOEV,STD,,,,
2454855.5147,12.965,0.072,,R,MMN,,HENDEN M67 039,HENDEN M67 030,,,0,,Z,10.160,9.900,,HU CNC,UAI,STD,,,,
2455207.7699,13.398,0.009,,V,DKS,,ENSEMBLE,GSC0814-1055,TYCHO,ENSEMBLE: GSC0814-1011;GSC0814-2047;GSC0814-1109;GSC0814-1225,0,,Z,11.020,12.480,,HU CNC,,STD,,,,
2455207.7852,13.397,0.004,,V,DKS,,ENSEMBLE,GSC0814-1055,TYCHO,ENSEMBLE: GSC0814-1011;GSC0814-2047;GSC0814-1109;GSC0814-1225,0,,Z,11.020,12.477,,HU CNC,,STD,,,,
2455208.8028,13.415,0.006,,V,DKS,,ENSEMBLE,GSC0814-1055,TYCHO,ENSEMBLE: GSC0814-1011;GSC0814-2047;GSC0814-1109;GSC0814-1225,0,,Z,11.020,12.481,,HU CNC,,STD,,,,
2455270.4609,12.898,0.072,,R,MMN,,A M67 021,B M67 030,HENDEN,,0,,Z,9.630,9.880,,HU CNC,UAI,STD,,,,
2455973.4898,13.419,0.022,,V,MMN,,A M67 021,B M67 030,,TELESCOPE SCHMIDT-CASSEGRAIN 0.25M-F/10.0 + CCD KAF0261E,0,,Z,10.290,10.450,,HU CNC,UAI,STD,,,,
2456006.31929,13.435,0.035,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.241,Z,,11.546,,HU CNC,AAVSO,STD,,,,
2456006.32302,13.425,0.015,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.231,Z,,11.550,,HU CNC,AAVSO,STD,,,,
2456006.32678,13.426,0.008,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.221,Z,,11.554,,HU CNC,AAVSO,STD,,,,
2456006.33113,13.421,0.018,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.210,Z,,11.564,,HU CNC,AAVSO,STD,,,,
2456006.33504,13.453,0.014,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.201,Z,,11.558,,HU CNC,AAVSO,STD,,,,
2456006.33883,13.432,0.020,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.193,Z,,11.553,,HU CNC,AAVSO,STD,,,,
2456006.34262,13.421,0.020,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.186,Z,,11.557,,HU CNC,AAVSO,STD,,,,
2456006.34639,13.434,0.009,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.180,Z,,11.556,,HU CNC,AAVSO,STD,,,,
2456006.35017,13.436,0.016,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.174,Z,,11.551,,HU CNC,AAVSO,STD,,,,
2456006.35395,13.428,0.011,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.169,Z,,11.551,,HU CNC,AAVSO,STD,,,,
2456006.35779,13.415,0.006,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.164,Z,,11.550,,HU CNC,AAVSO,STD,,,,
2456006.36167,13.430,0.010,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.160,Z,,11.550,,HU CNC,AAVSO,STD,,,,
2456006.36604,13.434,0.011,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.156,Z,,11.547,,HU CNC,AAVSO,STD,,,,
2456006.36979,13.423,0.014,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.153,Z,,11.547,,HU CNC,AAVSO,STD,,,,
2456006.37359,13.415,0.007,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.151,Z,,11.548,,HU CNC,AAVSO,STD,,,,
2456006.37739,13.415,0.008,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.149,Z,,11.547,,HU CNC,AAVSO,STD,,,,
2456006.38123,13.419,0.014,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.148,Z,,11.545,,HU CNC,AAVSO,STD,,,,
2456006.38518,13.426,0.013,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.147,Z,,11.549,,HU CNC,AAVSO,STD,,,,
2456006.38894,13.427,0.015,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.147,Z,,11.551,,HU CNC,AAVSO,STD,,,,
2456006.39272,13.424,0.010,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.148,Z,,11.550,,HU CNC,AAVSO,STD,,,,
2456006.39648,13.422,0.013,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.149,Z,,11.551,,HU CNC,AAVSO,STD,,,,
2456006.40026,13.415,0.012,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.150,Z,,11.552,,HU CNC,AAVSO,STD,,,,
2456006.40404,13.420,0.009,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.153,Z,,11.552,,HU CNC,AAVSO,STD,,,,
2456006.40778,13.410,0.008,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.155,Z,,11.555,,HU CNC,AAVSO,STD,,,,
2456006.41199,13.426,0.007,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.159,Z,,11.556,,HU CNC,AAVSO,STD,,,,
2456006.41617,13.413,0.006,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.164,Z,,11.545,,HU CNC,AAVSO,STD,,,,
2456006.41996,13.412,0.013,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.168,Z,,11.548,,HU CNC,AAVSO,STD,,,,
2456006.42371,13.416,0.015,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.173,Z,,11.551,,HU CNC,AAVSO,STD,,,,
2456006.42773,13.416,0.024,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.180,Z,,11.551,,HU CNC,AAVSO,STD,,,,
2456006.43195,13.431,0.011,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.187,Z,,11.556,,HU CNC,AAVSO,STD,,,,
2456006.43567,13.433,0.021,,V,ATE,,ENSEMBLE,115,6836DVU,,0,1.194,Z,,11.550,,HU CNC,AAVSO,STD,,,,
